Produkt;Kategori;URL til produktinformasjon;URL til bilde (.jpg);Pris (NOK);ID;Beskrivelse
SmartGlow LED-lamper;Belysning;https://example.com/smartglow-led-lamper;https://example.com/images/smartglow-led-lamper.jpg;299;SG001;Lys opp hjemmet ditt med SmartGlow LED-lamper, som tilbyr justerbar lysstyrke og fargetemperatur via en brukervennlig app. Perfekt for å skape den rette stemningen.
SoundWave Bluetooth-høyttalere;Lyd;https://example.com/soundwave-hoyttalere;https://example.com/images/soundwave-hoyttalere.jpg;699;SW002;Nyt krystallklar lyd med SoundWave Bluetooth-høyttalere. Disse bærbare høyttalerne gir kraftig lydkvalitet, lang batterilevetid, og er vannavstøtende.
PowerMax bærbare ladere;Lading;https://example.com/powermax-ladere;https://example.com/images/powermax-ladere.jpg;399;PM003;Hold enhetene dine oppladet uansett hvor du er med PowerMax bærbare ladere. Med høy kapasitet og hurtigladingsteknologi, sikrer PowerMax at du aldri går tom for strøm.
UltraClear 4K-skjermer;Skjermer;https://example.com/ultraclear-4k-skjermer;https://example.com/images/ultraclear-4k-skjermer.jpg;3499;UC004;Opplev uslåelig bildekvalitet med UltraClear 4K-skjermer. Ideell for både arbeid og underholdning, tilbyr disse skjermene sylskarpe bilder og imponerende fargegjengivelse.
FastCharge trådløse ladestasjoner;Lading;https://example.com/fastcharge-ladestasjoner;https://example.com/images/fastcharge-ladestasjoner.jpg;499;FC005;Si farvel til kabler med FastCharge trådløse ladestasjoner. Plasser telefonen på laderen for en rask og effektiv oppladning uten knotete ledninger.
ProTech gaming-tastaturer;Gaming;https://example.com/protech-gaming-tastaturer;https://example.com/images/protech-gaming-tastaturer.jpg;1199;PT006;Dominer i spillene dine med ProTech gaming-tastaturer. Med mekaniske taster, RGB-belysning, og programmerbare makrotaster, får du en responsiv og skreddersydd spillopplevelse.
AeroPods trådløse ørepropper;Lyd;https://example.com/aeropods-orepropper;https://example.com/images/aeropods-orepropper.jpg;799;AP007;AeroPods gir deg friheten til å bevege deg uten kabler, samtidig som de leverer førsteklasses lydkvalitet. Med støydemping og lang batterilevetid er de perfekte for daglig bruk.
SpeedConnect WiFi-forsterkere;Nettverk;https://example.com/speedconnect-wifi;https://example.com/images/speedconnect-wifi.jpg;599;SC008;Forsterk signalet i hjemmet ditt med SpeedConnect WiFi-forsterkere. De sikrer rask og pålitelig internettdekning i alle rom, uansett størrelse på boligen.
SmartHome sikkerhetskameraer;Sikkerhet;https://example.com/smarthome-kameraer;https://example.com/images/smarthome-kameraer.jpg;1499;SH009;Hold hjemmet ditt trygt med SmartHome sikkerhetskameraer. Disse kameraene gir deg sanntids overvåking via app, nattsyn, og toveis lydkommunikasjon for ekstra trygghet.
TechGuard skjermbeskyttere;Tilbehør;https://example.com/techguard-skjermbeskyttere;https://example.com/images/techguard-skjermbeskyttere.jpg;199;TG010;Beskytt skjermen din mot riper og skader med TechGuard skjermbeskyttere. Laget av slitesterkt, herdet glass som er enkel å påføre uten bobler.
RoboClean robotstøvsugere;Husholdning;https://example.com/roboclean-stovsugere;https://example.com/images/roboclean-stovsugere.jpg;2999;RC011;Gjør rengjøringen til en lek med RoboClean robotstøvsugere. De navigerer effektivt gjennom hjemmet ditt, fjerner støv og smuss, og kan programmeres til å rengjøre når du ikke er hjemme.
PixelView VR-briller;VR;https://example.com/pixelview-vr-briller;https://example.com/images/pixelview-vr-briller.jpg;2499;PV012;Gå inn i en ny verden med PixelView VR-briller. Opplev immersive 360-graders videoer og spill med en bred synsvinkel og høy komfort for lange økter.
EcoCharge solcelleladere;Bærekraft;https://example.com/ecocharge-solcelleladere;https://example.com/images/ecocharge-solcelleladere.jpg;599;EC013;Lad enhetene dine bærekraftig med EcoCharge solcelleladere. Ideell for camping eller utendørsaktiviteter, disse laderne er lette, bærbare, og miljøvennlige.
CloudSync bærbare harddisker;Lagring;https://example.com/cloudsync-harddisker;https://example.com/images/cloudsync-harddisker.jpg;899;CS014;Sikkerhetskopier dine viktige filer med CloudSync bærbare harddisker. Med høy lagringskapasitet og rask overføringshastighet, er dette det perfekte valget for alle dine lagringsbehov.
HyperSpeed gaming-mus;Gaming;https://example.com/hyperspeed-gaming-mus;https://example.com/images/hyperspeed-gaming-mus.jpg;699;HS015;Øk presisjonen i spillene dine med HyperSpeed gaming-mus. Denne musen har justerbar DPI, ergonomisk design, og RGB-belysning for en skreddersydd spillopplevelse.
SafeVault digitale låser;Sikkerhet;https://example.com/safevault-digitale-laser;https://example.com/images/safevault-digitale-laser.jpg;1299;SV016;Beskytt dine verdier med SafeVault digitale låser. Med fingeravtrykksgjenkjenning og appstyrt låsing gir disse låsene deg full kontroll og sikkerhet.
NanoGuard antivirus-programvare;Programvare;https://example.com/nanoguard-antivirus;https://example.com/images/nanoguard-antivirus.jpg;399;NG017;Hold dataene dine trygge med NanoGuard antivirus-programvare. Den beskytter mot de nyeste truslene og gir sanntidsbeskyttelse uten å senke ytelsen på enheten din.
OptiZoom digitale kameraer;Fotografi;https://example.com/optizoom-kameraer;https://example.com/images/optizoom-kameraer.jpg;1999;OZ018;Ta skarpe og levende bilder med OptiZoom digitale kameraer. Med høy optisk zoom og avanserte fotograferingsfunksjoner er disse kameraene perfekte for både amatører og profesjonelle.
AirBreeze smartvifter;Husholdning;https://example.com/airbreeze-smartvifter;https://example.com/images/airbreeze-smartvifter.jpg;999;AB019;Hold deg kjølig med AirBreeze smartvifter. De tilbyr fjernstyrt hastighetsjustering og tidsinnstillinger via app, slik at du alltid har det komfortabelt hjemme.
MaxPower stasjonære PC-er;Datamaskiner;https://example.com/maxpower-stasjonare-pcer;https://example.com/images/maxpower-stasjonare-pcer.jpg;8999;MP020;Få kraften du trenger for arbeid eller spill med MaxPower stasjonære PC-er. Disse maskinene er utstyrt med de nyeste prosessorene og grafikkortene for høy ytelse.
CrystalSound lydplanke;Lyd;https://example.com/crystalsound-lydplanke;https://example.com/images/crystalsound-lydplanke.jpg;1499;CS031;Få en kinolignende opplevelse hjemme med CrystalSound lydplanke. Leverer dyp bass og klar lydkvalitet for filmer, musikk og spill.
SolarWave solcellelys;Belysning;https://example.com/solarwave-solcellelys;https://example.com/images/solarwave-solcellelys.jpg;499;SW032;SolarWave solcellelys er ideell for hagen eller terrassen. Lades opp av sollys om dagen og lyser automatisk opp når det blir mørkt.
TurboClean høytrykkspyler;Husholdning;https://example.com/turboclean-hoytrykkspyler;https://example.com/images/turboclean-hoytrykkspyler.jpg;2499;TC033;Rengjør effektivt med TurboClean høytrykkspyler. Perfekt for rengjøring av terrasser, biler, og fasader.
FlexiMount veggfeste for TV;Tilbehør;https://example.com/fleximount-veggfeste;https://example.com/images/fleximount-veggfeste.jpg;799;FM034;Få full fleksibilitet med FlexiMount veggfeste for TV. Justerbar vinkel og enkel installasjon for alle typer flatskjerm-TV-er.
